accX	accY	accZ	time	state
1.4964218	-0.16759923	9.665688	1567954099437	none
1.3383996	-0.057462595	9.778218	1567954099540	none
1.4964218	-0.057462595	9.634562	1567954099644	none
1.4389591	-0.062251143	9.644139	1567954099749	none
1.4174107	-0.17957062	9.783007	1567954099853	none
1.403045	-0.06464542	9.79019	1567954099958	none
1.515576	-0.13168511	9.780613	1567954100067	none
1.3934679	-0.15083931	9.835681	1567954100177	none
1.3431882	-0.14605077	9.699207	1567954100289	none
1.3479767	-0.102953814	9.881172	1567954100399	none
1.1708003	-0.46209505	9.98652	1567954100509	none
0.9601042	-0.42139238	10.371999	1567954100619	none
1.2953026	-0.41181526	9.632168	1567954100729	none
1.1803775	-0.1699935	9.5794935	1567954100839	none
1.3120626	-0.17717634	9.680053	1567954100955	none
1.2665714	0.23463893	10.108628	1567954101069	none
1.1013664	0.2849187	9.759064	1567954101184	none
1.0008069	-0.052674048	9.696813	1567954101298	none
0.96489275	-0.083799616	9.857229	1567954101415	none
0.967287	-0.21787901	9.931452	1567954101530	none
0.98404694	-0.047885496	9.72315	1567954101651	none
0.9337672	-0.038308397	9.730332	1567954101768	none
0.84278476	-0.18196489	9.818921	1567954101886	none
0.9313729	-0.0670397	9.8787775	1567954102000	none
0.8978531	-0.031125572	9.792584	1567954102115	none
0.91461295	-0.06943397	9.859624	1567954102230	none
0.9505271	-0.047885496	9.797373	1567954102346	none
0.87630457	-0.09337672	9.809344	1567954102460	none
0.82602483	-0.19154198	9.842864	1567954102569	none
0.9194015	-0.019154198	9.921875	1567954102683	none
0.8571504	-0.14126222	9.821315	1567954102796	none
0.7853221	-0.20111908	9.818921	1567954102909	none
0.8284191	-0.090982445	9.996098	1567954103024	none
0.80687064	-0.06943397	9.917087	1567954103143	none
0.8092649	0.12929083	9.883567	1567954103258	none
0.7446195	0.51955765	10.0368	1567954103374	none
0.9217958	0.6201172	9.754275	1567954103490	none
0.74701375	0.39505535	9.646533	1567954103606	none
0.7206767	0.13168511	9.699207	1567954103721	none
0.63208854	-0.047885496	9.90272	1567954103836	none
0.8044763	0.30886146	9.850046	1567954103951	none
0.9385557	0.3328042	10.0200405	1567954104069	none
1.0079896	0.53392327	9.694419	1567954104183	none
1.0175668	0.2849187	9.804555	1567954104300	none
1.1157321	0.4668836	9.636956	1567954104417	none
0.9912298	0.5147691	9.775824	1567954104533	none
1.0415095	0.45730647	9.914692	1567954104649	none
1.0319325	0.4285752	9.809344	1567954104762	none
1.1803775	0.43096948	9.634562	1567954104879	none
1.1540405	0.43575802	9.474146	1567954104994	none
1.3216397	0.37111259	9.814133	1567954105109	none
1.2043202	0.40463245	9.931452	1567954105228	none
1.462902	0.37590113	9.711179	1567954105349	none
1.2809371	0.4166038	9.601042	1567954105464	none
0.9696813	0.38308397	9.881172	1567954105580	none
0.97446984	0.4836435	9.732727	1567954105694	none
1.0774237	0.45491222	9.670476	1567954105811	none
0.9960183	0.3519584	9.926663	1567954105925	none
0.85954463	0.24421602	9.598648	1567954106044	none
1.0917894	0.4166038	9.668081	1567954106157	none
0.87630457	0.4932206	9.814133	1567954106271	none
0.7972935	0.36871833	9.785401	1567954106376	none
0.75659084	0.22985038	10.194822	1567954106480	none
1.0750294	0.41181526	9.62259	1567954106584	none
1.2641771	0.47885495	9.469357	1567954106688	none
1.0127783	0.43575802	9.8237095	1567954106796	none
1.0343267	0.43575802	9.828498	1567954106901	none
1.0750294	0.37590113	9.727939	1567954107007	none
1.0798179	0.41181526	9.761458	1567954107114	none
0.97446984	0.4860378	9.862018	1567954107221	none
1.0151725	0.4189981	9.8787775	1567954107336	none
0.9984126	0.38547826	9.929058	1567954107445	none
1.0127783	0.43815228	9.876384	1567954107564	none
0.9888355	0.4189981	9.826104	1567954107683	none
1.0582695	0.46209505	9.8548355	1567954107794	none
0.9433443	0.39266106	9.785401	1567954107909	none
0.9720756	0.4070267	9.744699	1567954108025	none
0.9481328	0.4285752	9.759064	1567954108139	none
0.8834874	0.3974496	9.838076	1567954108253	none
0.94573855	0.4189981	9.694419	1567954108364	none
0.99362403	0.409421	9.778218	1567954108479	none
0.9601042	0.39266106	9.694419	1567954108596	none
0.90024734	0.42139238	9.847652	1567954108710	none
0.8571504	0.3519584	9.873989	1567954108827	none
0.90024734	0.43815228	9.8237095	1567954108941	none
0.9289786	0.409421	9.809344	1567954109056	none
0.8332076	0.36392978	9.730332	1567954109172	none
0.89067024	0.409421	9.866806	1567954109289	none
0.90982443	0.4166038	9.797373	1567954109411	none
0.845179	0.4285752	9.775824	1567954109528	none
0.8332076	0.39266106	9.797373	1567954109643	none
0.9217958	0.38068968	9.787795	1567954109757	none
0.9241901	0.42378664	9.766247	1567954109873	none
0.86193895	0.45251793	9.888355	1567954109986	none
0.91461295	0.41420954	9.830893	1567954110102	none
0.9122187	0.39505535	9.785401	1567954110217	none
0.9241901	0.4189981	9.833286	1567954110331	none
