gyrX	gyrY	gyrZ	time	state
-0.016525127	0.03790602	0.0400807	1567954254000	none
0.05189178	0.0067518936	-0.011231979	1567954254119	none
0.031122362	0.0012541064	0.0077048433	1567954254231	none
0.092208885	-0.12824933	-0.021616688	1567954254345	none
0.051280916	0.02141266	0.035804644	1567954254456	none
0.042117935	-0.051280305	-0.027114475	1567954254570	none
0.086100236	0.029964773	-0.039942645	1567954254687	none
-0.06417262	0.044014674	0.070623964	1567954254798	none
-0.036683682	-0.012184929	-0.06682072	1567954254912	none
0.08548937	-0.05799982	0.0700131	1567954255028	none
0.1887256	-0.070217125	-0.052770816	1567954255144	none
0.06960687	-0.06960626	0.060239255	1567954255258	none
-0.05623137	-0.020126177	-0.034444857	1567954255374	none
-6.426302E-4	-0.046393383	-0.021005822	1567954255489	none
0.03845275	0.040349483	-0.04544043	1567954255605	none
0.008520349	0.09593822	0.013813496	1567954255721	none
-0.0024752258	-0.0134066595	-0.057657737	1567954255838	none
0.045172263	0.028743042	0.0040396517	1567954255958	none
0.051280916	-0.070217125	-0.049716488	1567954256071	none
-0.02263378	0.037295155	0.0028179213	1567954256186	none
-0.019579453	0.037295155	0.048632815	1567954256302	none
0.05983303	-0.097706065	0.023587339	1567954256417	none
0.14229983	-0.105036445	0.013202631	1567954256531	none
0.14963022	-0.11297769	0.0260308	1567954256648	none
-0.012859935	0.016525738	0.022976475	1567954256760	none
0.03539842	0.07822313	0.03336118	1567954256873	none
0.0011899655	-0.057388958	-0.008788518	1567954256988	none
0.021959383	-0.038452134	0.02114388	1567954257105	none
0.056778703	-0.10992337	0.0022070562	1567954257221	none
0.10992398	-0.020126177	0.018700419	1567954257338	none
0.14535415	-0.17284249	-0.027725343	1567954257452	none
0.15329541	-0.09587347	0.016256956	1567954257569	none
0.004855157	0.09715995	0.07673261	1567954257682	none
0.039674476	-0.056778092	-0.0069559226	1567954257796	none
0.044561397	-0.024402233	0.0077048433	1567954257913	none
0.037841883	-0.009130603	-0.049105626	1567954258029	none
0.05983303	-0.039063	-0.0057341917	1567954258142	none
-0.015303397	0.02141266	0.04130243	1567954258259	none
0.024402846	-0.0250131	0.045578487	1567954258373	none
-0.06661607	0.06356236	-8.472701E-4	1567954258489	none
-0.0574531	0.02141266	0.06268272	1567954258603	none
-0.015303397	-0.042728193	-0.021616688	1567954258718	none
-0.019579453	0.0049192975	0.008926574	1567954258837	none
0.028068038	-0.0018002199	-0.032612264	1567954258951	none
0.017683327	0.04462554	0.028474262	1567954259067	none
0.030511497	-0.017682716	0.02480907	1567954259183	none
0.004855157	-0.020737043	-0.007566788	1567954259297	none
-0.06295089	0.012860546	0.012591765	1567954259413	none
-0.03790541	0.04462554	0.006483113	1567954259527	none
-0.009805609	-0.011574064	0.0083157085	1567954259643	none
-0.05439877	0.02263439	0.013202631	1567954259752	none
0.04700486	0.014082276	0.013202631	1567954259867	none
0.13313685	-0.015850121	0.007093978	1567954259982	none
0.120919555	-0.038452134	0.070623964	1567954260097	none
0.12275215	-0.023791369	0.030306859	1567954260204	none
0.015850732	-0.029289156	0.022976475	1567954260319	none
0.06410909	-0.02990002	-0.042996973	1567954260435	none
0.07999159	-0.064108476	0.0052613826	1567954260549	none
0.084878504	-0.012184929	0.012591765	1567954260665	none
0.08243504	-0.019515311	0.029695991	1567954260781	none
0.048837457	-0.031121751	-0.011231979	1567954260896	none
